사번,발령일자,발령종류,발령내용
GA22001,2022-09-24,입사,경영지원팀 사원 입사
GA19002,2019-03-08,입사,경영지원팀 주임 입사
GA19002,2023-04-16,승진,사원 → 주임 승진
GA19002,2024-03-28,발령,제작 2팀 → 경영지원팀 부서 이동
GA18003,2018-11-18,입사,경영지원팀 대리 입사
GA17004,2017-04-13,입사,경영지원팀 과장 입사
GA20005,2020-11-12,입사,경영지원팀 과장 입사
GA20005,2022-07-04,승진,대리 → 과장 승진
GA23006,2023-04-18,입사,경영지원팀 사원 입사
GA21007,2021-06-07,입사,경영지원팀 주임 입사
GA19008,2019-11-18,입사,인사팀 대리 입사
GA19008,2022-02-22,승진,주임 → 대리 승진
GA11009,2011-07-12,입사,인사팀 부장 입사
GA17010,2017-04-13,입사,인사팀 과장 입사
GA21011,2021-09-26,입사,인사팀 주임 입사
GA21011,2022-11-06,승진,사원 → 주임 승진
GA22012,2022-11-18,입사,인사팀 사원 입사
GA11013,2011-12-12,입사,재무팀 부장 입사
GA20014,2020-11-16,입사,재무팀 주임 입사
GA20014,2024-01-26,승진,사원 → 주임 승진
GA13015,2013-05-04,입사,재무팀 차장 입사
GA22016,2022-12-16,입사,재무팀 사원 입사
GA24017,2024-07-10,입사,재무팀 사원 입사
GA23018,2023-06-24,입사,재무팀 주임 입사
GA23018,2026-10-26,승진,사원 → 주임 승진
GA14019,2014-09-16,입사,기술연구소 과장 입사
GA14019,2016-01-04,승진,대리 → 과장 승진
GA20020,2020-11-12,입사,기술연구소 대리 입사
GA17021,2017-12-01,입사,기술연구소 과장 입사
GA17021,2021-05-14,발령,인사팀 → 기술연구소 부서 이동
GA22022,2022-03-11,입사,기술연구소 사원 입사
GA25023,2025-09-25,입사,기술연구소 사원 입사
GA24024,2024-10-23,입사,기술연구소 대리 입사
GA24024,2026-04-11,승진,주임 → 대리 승진
GA23025,2023-07-18,입사,기술연구소 사원 입사
GA23025,2024-10-02,발령,인사팀 → 기술연구소 부서 이동
GA22026,2022-02-26,입사,기술연구소 주임 입사
GA22026,2025-06-02,승진,사원 → 주임 승진
GA19027,2019-01-01,입사,기술연구소 주임 입사
GA19027,2021-04-12,승진,사원 → 주임 승진
GA15028,2015-06-13,입사,기술연구소 차장 입사
GA21029,2021-09-01,입사,기술연구소 과장 입사
GA21030,2021-05-09,입사,기술연구소 주임 입사
GA14031,2014-02-05,입사,사업 1팀 과장 입사
GA14031,2026-07-21,휴직,육아휴직
GA22032,2022-04-04,입사,사업 1팀 사원 입사
GA24033,2024-09-17,입사,사업 1팀 대리 입사
GA24033,2026-04-25,발령,인사팀 → 사업 1팀 부서 이동
GA18034,2018-01-15,입사,사업 1팀 차장 입사
GA18034,2020-05-19,승진,과장 → 차장 승진
