사번,발령일자,발령종류,발령내용
FM23001,2023-05-11,입사,경영지원팀 부장 입사
FM25002,2025-07-06,입사,재무팀 대리 입사
FM25002,2026-10-16,승진,주임 → 대리 승진
FM20003,2020-08-18,입사,CSA연구소 주임 입사
FM24004,2024-11-21,입사,XP 2팀 사원 입사
FM18005,2018-11-19,입사,총무팀 부장 입사
FM18005,2023-04-05,퇴사,계약 만료
FM15006,2015-11-04,입사,제작 2팀 대리 입사
FM22007,2022-02-15,입사,제작 2팀 이사 입사
FM15008,2015-07-18,입사,CSA연구소 대리 입사
FM18009,2018-08-11,입사,인사팀 부장 입사
FM18009,2025-03-08,휴직,육아휴직
FM17010,2017-10-21,입사,CSA연구소 이사 입사
FM16011,2016-03-27,입사,총무팀 주임 입사
FM19012,2019-05-16,입사,XP 3팀 부장 입사
FM19012,2022-04-02,승진,차장 → 부장 승진
FM21013,2021-01-12,입사,인사팀 대리 입사
FM15014,2015-01-15,입사,CSA연구소 부장 입사
FM15014,2016-03-08,승진,차장 → 부장 승진
FM22015,2022-12-24,입사,경영지원팀 과장 입사
FM22015,2025-07-09,휴직,육아휴직
FM23016,2023-05-06,입사,총무팀 이사 입사
FM23016,2026-10-06,승진,부장 → 이사 승진
FM18017,2018-12-20,입사,인사팀 이사 입사
FM18017,2021-07-21,승진,부장 → 이사 승진
FM21018,2021-02-10,입사,제작 1팀 사원 입사
FM16019,2016-12-02,입사,XP 3팀 이사 입사
FM16019,2019-07-06,승진,부장 → 이사 승진
FM16019,2026-11-01,퇴사,이직 퇴직
FM16020,2016-07-02,입사,XP 2팀 과장 입사
FM20021,2020-06-06,입사,XP 3팀 부장 입사
FM20021,2024-05-08,승진,차장 → 부장 승진
FM21022,2021-02-26,입사,XP 3팀 대리 입사
FM24023,2024-01-27,입사,XP 3팀 사원 입사
FM22024,2022-09-24,입사,제작 2팀 주임 입사
FM20025,2020-08-01,입사,제작 1팀 주임 입사
FM20025,2021-02-26,승진,사원 → 주임 승진
FM20025,2022-08-01,퇴사,개인 사유 퇴직
FM23026,2023-09-12,입사,XP 1팀 주임 입사
FM22027,2022-11-17,입사,총무팀 대리 입사
FM22027,2024-01-06,퇴사,개인 사유 퇴직
FM18028,2018-07-24,입사,경영지원팀 차장 입사
FM18028,2022-11-26,승진,과장 → 차장 승진
FM25029,2025-06-20,입사,제작 2팀 이사 입사
FM16030,2016-08-19,입사,제작 2팀 차장 입사
FM16030,2018-05-12,승진,과장 → 차장 승진
